subject,predicate,object
Charminar,locatedIn,Hyderabad
Hyderabad,capitalOf,Telangana
Hyderabad,locatedIn,Telangana
Telangana,locatedIn,India
GolcondaFort,locatedIn,Hyderabad
RamojiFilmCity,locatedIn,Hyderabad
Charminar,builtBy,QuliQutbShah
GolcondaFort,builtBy,IbrahimQuliQutbShah
QuliQutbShah,dynasty,QutbShahi
IbrahimQuliQutbShah,dynasty,QutbShahi
TajMahal,locatedIn,Agra
Agra,locatedIn,UttarPradesh
UttarPradesh,locatedIn,India
TajMahal,builtBy,ShahJahan
RedFort,locatedIn,Delhi
Delhi,locatedIn,India
RedFort,builtBy,ShahJahan
QutbMinar,locatedIn,Delhi
QutbMinar,builtBy,QutbuddinAibak
ShahJahan,dynasty,Mughal
QutbuddinAibak,dynasty,MamlukDelhi
GatewayOfIndia,locatedIn,Mumbai
Mumbai,locatedIn,Maharashtra
Maharashtra,locatedIn,India
GatewayOfIndia,builtBy,GeorgeWittet
HawaMahal,locatedIn,Jaipur
Jaipur,locatedIn,Rajasthan
Jaipur,capitalOf,Rajasthan
Rajasthan,locatedIn,India
HawaMahal,builtBy,SawaiPratapSingh
SawaiPratapSingh,dynasty,Kachwaha
MysorePalace,locatedIn,Mysore
Mysore,locatedIn,Karnataka
Karnataka,locatedIn,India
MysorePalace,builtBy,KrishnarajaWadiyarIV
KrishnarajaWadiyarIV,dynasty,Wadiyar
